YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020   6  17 -121.0207   10.1705   84.4141
2020   6  18 -121.0211   10.1705   84.4143
2020   6  19 -121.0214   10.1705   84.4146
2020   6  20 -121.0217   10.1705   84.4148
2020   6  21 -121.0221   10.1705   84.4151
2020   6  22 -121.0224   10.1705   84.4153
2020   6  23 -121.0227   10.1705   84.4155
2020   7   0 -121.0231   10.1705   84.4158
2020   7   1 -121.0234   10.1705   84.4160
2020   7   2 -121.0237   10.1705   84.4163
2020   7   3 -121.0240   10.1705   84.4165
2020   7   4 -121.0244   10.1705   84.4167
2020   7   5 -121.0247   10.1705   84.4170
2020   7   6 -121.0250   10.1705   84.4172
2020   7   7 -121.0254   10.1705   84.4174
2020   7   8 -121.0257   10.1705   84.4177
2020   7   9 -121.0260   10.1705   84.4179
2020   7  10 -121.0264   10.1705   84.4182
2020   7  11 -121.0267   10.1705   84.4184
2020   7  12 -121.0270   10.1705   84.4186
2020   7  13 -121.0273   10.1705   84.4189
2020   7  14 -121.0277   10.1704   84.4191
2020   7  15 -121.0280   10.1705   84.4194
2020   7  16 -121.0283   10.1704   84.4196
2020   7  17 -121.0287   10.1705   84.4198
2020   7  18 -121.0290   10.1705   84.4201
2020   7  19 -121.0293   10.1705   84.4203
2020   7  20 -121.0296   10.1705   84.4206
2020   7  21 -121.0300   10.1704   84.4208
2020   7  22 -121.0303   10.1705   84.4210
2020   7  23 -121.0306   10.1704   84.4213
2020   8   0 -121.0310   10.1704   84.4215
2020   8   1 -121.0313   10.1704   84.4217
2020   8   2 -121.0316   10.1704   84.4220
2020   8   3 -121.0320   10.1704   84.4222
2020   8   4 -121.0323   10.1704   84.4225
2020   8   5 -121.0326   10.1704   84.4227
2020   8   6 -121.0330   10.1704   84.4229
2020   8   7 -121.0333   10.1704   84.4232
2020   8   8 -121.0336   10.1704   84.4234
2020   8   9 -121.0340   10.1704   84.4237
2020   8  10 -121.0343   10.1704   84.4239
2020   8  11 -121.0346   10.1704   84.4242
2020   8  12 -121.0350   10.1704   84.4244
2020   8  13 -121.0353   10.1704   84.4246
2020   8  14 -121.0356   10.1704   84.4249
2020   8  15 -121.0359   10.1704   84.4251
2020   8  16 -121.0362   10.1704   84.4253
2020   8  17 -121.0366   10.1704   84.4256
2020   8  18 -121.0369   10.1704   84.4258
